German,Vietnam
der Briefträger,người đưa thư (nam)
die Briefträgerin,người đưa thư (nữ)
der Bäcker,thợ làm bánh (nam)
der Bäckerin,thợ làm bánh (nữ)
der Autofahrer,lái xe (nam)
der Autofahrerin,lái xe (nữ)
der Koch,đầu bếp (nam)
die Köchin,đầu bếp (nữ)
der Arzt,bác sĩ (nam)
die Ärztin,bác sĩ (nữ)
der Architekt,kỹ sư (nam)
die Architektin,kỹ sư (nữ)
der Lehrer,giáo viên (nam)
die Lehrerin,giáo viên (nữ)
der Kellner,nhân viên phục vụ (nam)
die Kellnerin,nhân viên phục vụ (nữ)
der Student,học sinh (nam)
die Studentin,học sinh (nữ)
der Polizist,cảnh sát (nam)
die Polizistin,cảnh sát (nữ)
der Verkäufer, nhân viên bán hàng (nam)
die Verkäuferin, nhân viên bán hàng (nữ)

